Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
5-Jul-24,EQ,"4,700.05","4,748.80","4,698.60","4,689.50","4,723.00","4,737.30","4,730.11","4,976.00","3,160.00","2,58,687","1,22,36,18,540.65","34,648"
8-Jul-24,EQ,"4,758.95","4,775.00","4,716.00","4,737.30","4,752.55","4,754.45","4,749.65","4,976.00","3,160.00","5,42,470","2,57,65,42,834.80","33,016"
9-Jul-24,EQ,"4,757.60","4,838.00","4,742.00","4,754.45","4,825.00","4,828.70","4,780.07","4,976.00","3,160.00","6,31,367","3,01,79,81,529.10","59,333"
10-Jul-24,EQ,"4,842.00","4,955.00","4,795.00","4,828.70","4,836.45","4,849.15","4,868.27","4,976.00","3,160.00","8,32,007","4,05,04,38,327.45","79,879"
11-Jul-24,EQ,"4,878.95","4,885.00","4,805.85","4,849.15","4,850.05","4,828.65","4,831.61","4,976.00","3,160.00","3,08,708","1,49,15,56,684.60","45,947"
12-Jul-24,EQ,"4,828.55","4,879.20","4,815.00","4,828.65","4,857.00","4,860.70","4,851.24","4,976.00","3,160.00","2,90,823","1,41,08,51,573.60","30,521"
15-Jul-24,EQ,"4,851.05","4,917.00","4,825.60","4,860.70","4,885.00","4,881.35","4,879.31","4,976.00","3,274.90","2,23,485","1,09,04,52,525.20","21,812"
16-Jul-24,EQ,"4,881.40","4,935.65","4,861.00","4,881.35","4,920.00","4,916.10","4,914.94","4,976.00","3,274.90","6,64,540","3,26,61,73,774.55","58,596"
18-Jul-24,EQ,"4,818.00","4,965.00","4,784.95","4,916.10","4,927.85","4,941.10","4,883.14","4,976.00","3,274.90","7,73,064","3,77,49,80,887.35","70,225"
19-Jul-24,EQ,"4,905.00","4,925.00","4,820.20","4,941.10","4,857.10","4,850.70","4,852.07","4,976.00","3,274.90","6,62,969","3,21,67,71,308.25","51,650"
22-Jul-24,EQ,"4,767.00","4,869.90","4,759.60","4,850.70","4,850.00","4,857.35","4,827.53","4,976.00","3,274.90","3,77,893","1,82,42,88,379.65","31,237"
23-Jul-24,EQ,"4,857.05","4,975.00","4,785.95","4,857.35","4,908.00","4,919.55","4,905.52","4,976.00","3,274.90","11,28,441","5,53,55,84,889.50","79,248"
24-Jul-24,EQ,"4,918.00","4,942.30","4,879.00","4,919.55","4,922.00","4,915.35","4,904.86","4,976.00","3,274.90","4,00,075","1,96,23,11,435.05","53,167"
25-Jul-24,EQ,"4,900.00","4,923.45","4,872.35","4,915.35","4,895.10","4,900.65","4,902.09","4,976.00","3,274.90","4,13,861","2,02,87,85,497.65","49,437"
26-Jul-24,EQ,"4,896.80","5,058.90","4,863.75","4,900.65","5,013.00","5,012.50","5,000.40","5,058.90","3,274.90","6,25,674","3,12,86,17,388.65","67,434"
